Date/time;018 (Library)-Mains.Active energy (105936.0 kWh),timestamp_no_value,timestamp_values,timestamp_only,TESAG_val,Date,timestamp_values,,timestamp
12/15/07 4:00:00 AM;149.6,12/15/07 4:00:00 A,1/1/17 9:45:00 PM;,9:45:00 PM;,8.2,2017-01-01,21:45:00,,2017-01-01T21:45:00+10:00
12/15/07 5:00:00 AM;141.6,12/15/07 5:00:00 A,1/1/17 10:00:00 PM,10:00:00 PM,8.5,2017-01-01,22:00:00,,2017-01-01T22:00:00+10:00
12/15/07 6:00:00 AM;137.0,12/15/07 6:00:00 A,1/1/17 10:15:00 PM,10:15:00 PM,8.3,2017-01-01,22:15:00,,2017-01-01T22:15:00+10:00
12/15/07 7:00:00 AM;130.2,12/15/07 7:00:00 A,1/1/17 10:30:00 PM,10:30:00 PM,8.6,2017-01-01,22:30:00,,2017-01-01T22:30:00+10:00
12/15/07 8:00:00 AM;133.5,12/15/07 8:00:00 A,1/1/17 10:45:00 PM,10:45:00 PM,7.9,2017-01-01,22:45:00,,2017-01-01T22:45:00+10:00
12/15/07 9:00:00 AM;132.7,12/15/07 9:00:00 A,1/1/17 11:00:00 PM,11:00:00 PM,8.4,2017-01-01,23:00:00,,2017-01-01T23:00:00+10:00
12/15/07 10:00:00 AM;132.5,12/15/07 10:00:00 ,1/1/17 11:15:00 PM,11:15:00 PM,8.3,2017-01-01,23:15:00,,2017-01-01T23:15:00+10:00
12/15/07 11:00:00 AM;188.6,12/15/07 11:00:00 ,1/1/17 11:30:00 PM,11:30:00 PM,8.4,2017-01-01,23:30:00,,2017-01-01T23:30:00+10:00
12/15/07 12:00:00 PM;190.3,12/15/07 12:00:00 ,1/1/17 11:45:00 PM,11:45:00 PM,7.7,2017-01-01,23:45:00,,2017-01-01T23:45:00+10:00
12/15/07 1:00:00 PM;194.3,12/15/07 1:00:00 P,1/2/17 12:00:00 AM,12:00:00 AM,8.8,2017-02-01,00:00:00,,2017-02-01T00:00:00+10:00
12/15/07 2:00:00 PM;191.8,12/15/07 2:00:00 P,1/2/17 12:15:00 AM,12:15:00 AM,8.8,2017-02-01,00:15:00,,2017-02-01T00:15:00+10:00
12/15/07 3:00:00 PM;191.6,12/15/07 3:00:00 P,1/2/17 12:30:00 AM,12:30:00 AM,8.3,2017-02-01,00:30:00,,2017-02-01T00:30:00+10:00
12/15/07 4:00:00 PM;192.5,12/15/07 4:00:00 P,1/2/17 12:45:00 AM,12:45:00 AM,7.8,2017-02-01,00:45:00,,2017-02-01T00:45:00+10:00
12/15/07 5:00:00 PM;134.0,12/15/07 5:00:00 P,1/2/17 1:00:00 AM;,1:00:00 AM;,7.8,2017-02-01,01:00:00,,2017-02-01T01:00:00+10:00
12/15/07 6:00:00 PM;133.4,12/15/07 6:00:00 P,1/2/17 1:15:00 AM;,1:15:00 AM;,8.5,2017-02-01,01:15:00,,2017-02-01T01:15:00+10:00
12/15/07 7:00:00 PM;177.4,12/15/07 7:00:00 P,1/2/17 1:30:00 AM;,1:30:00 AM;,7.6,2017-02-01,01:30:00,,2017-02-01T01:30:00+10:00
12/15/07 8:00:00 PM;192.6,12/15/07 8:00:00 P,1/2/17 1:45:00 AM;,1:45:00 AM;,7.6,2017-02-01,01:45:00,,2017-02-01T01:45:00+10:00
12/15/07 9:00:00 PM;191.4,12/15/07 9:00:00 P,1/2/17 2:00:00 AM;,2:00:00 AM;,8.4,2017-02-01,02:00:00,,2017-02-01T02:00:00+10:00
12/15/07 10:00:00 PM;195.5,12/15/07 10:00:00 ,1/2/17 2:15:00 AM;,2:15:00 AM;,8.1,2017-02-01,02:15:00,,2017-02-01T02:15:00+10:00
12/15/07 11:00:00 PM;197.4,12/15/07 11:00:00 ,1/2/17 2:30:00 AM;,2:30:00 AM;,7.5,2017-02-01,02:30:00,,2017-02-01T02:30:00+10:00
12/16/07 12:00:00 AM;227.5,12/16/07 12:00:00 ,1/2/17 2:45:00 AM;,2:45:00 AM;,7.9,2017-02-01,02:45:00,,2017-02-01T02:45:00+10:00
12/16/07 1:00:00 AM;145.5,12/16/07 1:00:00 A,1/2/17 3:00:00 AM;,3:00:00 AM;,9,2017-02-01,03:00:00,,2017-02-01T03:00:00+10:00
12/16/07 2:00:00 AM;125.9,12/16/07 2:00:00 A,1/2/17 3:15:00 AM;,3:15:00 AM;,8.6,2017-02-01,03:15:00,,2017-02-01T03:15:00+10:00
12/16/07 3:00:00 AM;137.9,12/16/07 3:00:00 A,1/2/17 3:30:00 AM;,3:30:00 AM;,7.7,2017-02-01,03:30:00,,2017-02-01T03:30:00+10:00
12/16/07 4:00:00 AM;131.8,12/16/07 4:00:00 A,1/2/17 3:45:00 AM;,3:45:00 AM;,7.4,2017-02-01,03:45:00,,2017-02-01T03:45:00+10:00
12/16/07 5:00:00 AM;132.8,12/16/07 5:00:00 A,1/2/17 4:00:00 AM;,4:00:00 AM;,8,2017-02-01,04:00:00,,2017-02-01T04:00:00+10:00
12/16/07 6:00:00 AM;131.4,12/16/07 6:00:00 A,1/2/17 4:15:00 AM;,4:15:00 AM;,7.6,2017-02-01,04:15:00,,2017-02-01T04:15:00+10:00
12/16/07 7:00:00 AM;132.4,12/16/07 7:00:00 A,1/2/17 4:30:00 AM;,4:30:00 AM;,7.4,2017-02-01,04:30:00,,2017-02-01T04:30:00+10:00
